Output Of Scenario 0001
Part One: Trip Distribution Origin-Destination Matrix
,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76,Zone77,Zone78,Zone79,Zone80,Zone81,Zone82,Zone83,Zone84,Zone85,Zone86,Zone87,Zone88,Zone89,Zone90,Zone91,Zone92,Zone93,Zone94,Zone95,Zone96,Zone97,Zone98,Zone99,Zone100,Trip Production Of Each Zone
Zone85,         0,         0,         4,         3,         9,        32,         4,         5,        14,        88,         4,         0,        92,         1,         0,         0,        19,         5,         7,        14,        13,        37,        19,         9,        12,       138,        96,         1,         6,         1,         0,        11,         4,         5,        47,       264,        15,         3,        29,        62,        26,       137,       107,        21,        35,         0,        58,         5,         0,        12,        91,        31,        91,         1,       141,        86,       104,         1,         0,         0,        31,         5,       165,       169,       129,        21,         0,         0,         0,         0,       133,       142,        52,        17,        81,         0,         0,         0,         0,         0,        28,        77,         0,        54,         0,         0,         0,         0,         0,         0,         0,        41,         0,         0,         0,         0,         0,         0,         0,         0,      3159
Zone86,         0,         0,         3,         3,         8,        27,         3,         4,        12,        75,         3,         0,        78,         0,         0,         0,        16,         4,         6,        12,        11,        31,        16,         8,        10,       117,        81,         1,         5,         1,         0,         9,         3,         4,        40,       224,        12,         3,        24,        53,        22,       116,        90,        17,        30,         0,        50,         4,         0,        10,        77,        26,        77,         1,       119,        73,        88,         1,         0,         0,        26,         4,       140,       143,       109,        18,         0,         0,         0,         0,       113,       121,        44,        15,        69,         0,         0,         0,         0,         0,        24,        65,         0,        46,         0,         0,         0,         0,         0,         0,         0,        35,         0,         0,         0,         0,         0,         0,         0,         0,      2681
Zone87,         1,         1,         9,         8,        23,        80,         9,        12,        34,       222,        10,         0,       232,         1,         0,         0,        47,        12,        17,        35,        33,        92,        48,        23,        30,       348,       240,         2,        16,         2,         0,        27,         9,        12,       119,       664,        37,         9,        72,       156,        66,       345,       268,        52,        88,         0,       147,        12,         0,        29,       229,        77,       228,         2,       354,       215,       260,         3,         0,         0,        77,        12,       416,       425,       323,        52,         0,         0,         0,         0,       334,       358,       131,        43,       204,         0,         0,         0,         0,         0,        70,       193,         0,       136,         0,         0,         0,         0,         0,         0,         0,       103,         0,         0,         0,         0,         0,         0,         0,         0,      7946
Zone88,         0,         0,         2,         2,         5,        18,         2,         3,         8,        51,         2,         0,        53,         0,         0,         0,        11,         3,         4,         8,         8,        21,        11,         5,         7,        80,        55,         0,         4,         1,         0,         6,         2,         3,        27,       152,         8,         2,        16,        36,        15,        79,        61,        12,        20,         0,        34,         3,         0,         7,        52,        18,        52,         1,        81,        49,        60,         1,         0,         0,        18,         3,        95,        97,        74,        12,         0,         0,         0,         0,        76,        82,        30,        10,        47,         0,         0,         0,         0,         0,        16,        44,         0,        31,         0,         0,         0,         0,         0,         0,         0,        24,         0,         0,         0,         0,         0,         0,         0,         0,      1819
Zone89,         0,         1,         5,         5,        14,        48,         6,         7,        21,       134,         6,         0,       140,         1,         0,         0,        28,         7,        10,        21,        20,        55,        29,        14,        18,       210,       145,         1,        10,         1,         0,        17,         6,         7,        71,       400,        22,         5,        43,        94,        40,       208,       161,        31,        53,         0,        88,         7,         0,        17,       138,        46,       137,         1,       213,       130,       157,         2,         0,         0,        47,         7,       250,       256,       195,        32,         0,         0,         0,         0,       201,       216,        79,        26,       123,         0,         0,         0,         0,         0,        42,       116,         0,        82,         0,         0,         0,         0,         0,         0,         0,        62,         0,         0,         0,         0,         0,         0,         0,         0,      4787
Zone90,         0,         0,         3,         3,         9,        31,         4,         5,        13,        85,         4,         0,        90,         1,         0,         0,        18,         5,         7,        13,        13,        36,        19,         9,        12,       134,        93,         1,         6,         1,         0,        11,         4,         5,        46,       256,        14,         3,        28,        60,        25,       133,       103,        20,        34,         0,        57,         5,         0,        11,        88,        30,        88,         1,       136,        83,       100,         1,         0,         0,        30,         5,       160,       164,       125,        20,         0,         0,         0,         0,       129,       138,        50,        17,        79,         0,         0,         0,         0,         0,        27,        74,         0,        53,         0,         0,         0,         0,         0,         0,         0,        40,         0,         0,         0,         0,         0,         0,         0,         0,      3064
Zone91,         2,         3,        29,        24,        73,       256,        29,        38,       110,       707,        32,         1,         0,         0,         0,         0,       151,        38,        55,       110,       107,         0,         0,         0,         0,      1113,       766,         6,        50,         8,         0,         0,         0,         0,         0,         0,       116,        27,       229,       497,         0,         0,         0,         0,         0,         0,       468,        38,         0,        92,         0,         0,         0,         0,         0,         0,       830,        10,       433,       154,         0,         0,         0,         0,         0,         0,       242,       216,       356,       302,         0,         0,         0,         0,         0,       391,       128,        14,       259,       142,         0,         0,         0,         0,       409,       143,        51,       294,       190,       201,         0,         0,       272,        52,         4,        35,       288,       362,       146,       263,     11360
Zone92,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
Zone93,         1,         1,         9,         8,        23,        80,         9,        12,        34,       222,        10,         0,       232,         1,         0,         0,        47,        12,        17,        35,        33,        92,        48,        23,        30,       348,       240,         2,        16,         2,         0,        27,         9,        12,       119,       664,        37,         9,        72,       156,        66,       345,       268,        52,        88,         0,       147,        12,         0,        29,       229,        77,       228,         2,       354,       215,       260,         3,         0,         0,        77,        12,       416,       425,       323,        52,         0,         0,         0,         0,       334,       358,       131,        43,       204,         0,         0,         0,         0,         0,        70,       193,         0,       136,         0,         0,         0,         0,         0,         0,         0,       103,         0,         0,         0,         0,         0,         0,         0,         0,      7946
Zone94,         1,         1,         9,         8,        24,        85,        10,        13,        37,       235,        11,         0,       246,         1,         0,         0,        50,        13,        18,        37,        35,        98,        51,        24,        32,       369,       255,         2,        17,         3,         0,        29,        10,        13,       126,       704,        39,         9,        76,       165,        70,       366,       284,        55,        93,         0,       156,        13,         0,        31,       243,        81,       242,         2,       375,       228,       276,         3,         0,         0,        82,        13,       441,       450,       343,        56,         0,         0,         0,         0,       354,       379,       139,        46,       216,         0,         0,         0,         0,         0,        75,       205,         0,       145,         0,         0,         0,         0,         0,         0,         0,       110,         0,         0,         0,         0,         0,         0,         0,         0,      8425
Zone95,         0,         0,         4,         3,         9,        32,         4,         5,        14,        88,         4,         0,        92,         1,         0,         0,        19,         5,         7,        14,        13,        37,        19,         9,        12,       138,        96,         1,         6,         1,         0,        11,         4,         5,        47,       264,        15,         3,        29,        62,        26,       137,       107,        21,        35,         0,        58,         5,         0,        12,        91,        31,        91,         1,       141,        86,       104,         1,         0,         0,        31,         5,       165,       169,       129,        21,         0,         0,         0,         0,       133,       142,        52,        17,        81,         0,         0,         0,         0,         0,        28,        77,         0,        54,         0,         0,         0,         0,         0,         0,         0,        41,         0,         0,         0,         0,         0,         0,         0,         0,      3159
Zone96,         0,         1,         5,         4,        13,        46,         5,         7,        20,       126,         6,         0,       132,         1,         0,         0,        27,         7,        10,        20,        19,        52,        27,        13,        17,       197,       136,         1,         9,         1,         0,        16,         5,         7,        67,       376,        21,         5,        41,        88,        37,       195,       152,        29,        50,         0,        83,         7,         0,        16,       130,        43,       129,         1,       200,       122,       147,         2,         0,         0,        44,         7,       235,       240,       183,        30,         0,         0,         0,         0,       189,       203,        74,        25,       116,         0,         0,         0,         0,         0,        40,       109,         0,        77,         0,         0,         0,         0,         0,         0,         0,        59,         0,         0,         0,         0,         0,         0,         0,         0,      4500
Zone97,         1,         1,        10,         8,        25,        87,        10,        13,        37,       240,        11,         0,       252,         2,         0,         0,        51,        13,        19,        38,        36,       100,        53,        25,        33,       377,       260,         2,        17,         3,         0,        30,        10,        13,       129,       720,        40,         9,        78,       169,        71,       374,       290,        56,        95,         0,       159,        13,         0,        31,       248,        83,       247,         3,       384,       233,       282,         3,         0,         0,        84,        13,       451,       460,       351,        57,         0,         0,         0,         0,       362,       388,       142,        47,       221,         0,         0,         0,         0,         0,        76,       209,         0,       148,         0,         0,         0,         0,         0,         0,         0,       112,         0,         0,         0,         0,         0,         0,         0,         0,      8616
Zone98,         1,         1,         9,         8,        24,        85,        10,        13,        37,       235,        11,         0,       246,         1,         0,         0,        50,        13,        18,        37,        35,        98,        51,        24,        32,       369,       255,         2,        17,         3,         0,        29,        10,        13,       126,       704,        39,         9,        76,       165,        70,       366,       284,        55,        93,         0,       156,        13,         0,        31,       243,        81,       242,         2,       375,       228,       276,         3,         0,         0,        82,        13,       441,       450,       343,        56,         0,         0,         0,         0,       354,       379,       139,        46,       216,         0,         0,         0,         0,         0,        75,       205,         0,       145,         0,         0,         0,         0,         0,         0,         0,       110,         0,         0,         0,         0,         0,         0,         0,         0,      8425
Zone99,         1,         1,         7,         6,        18,        65,         7,        10,        28,       179,         8,         0,       188,         1,         0,         0,        38,        10,        14,        28,        27,        74,        39,        18,        24,       281,       194,         2,        13,         2,         0,        22,         8,        10,        96,       536,        29,         7,        58,       126,        53,       279,       216,        42,        71,         0,       118,        10,         0,        23,       185,        62,       184,         2,       286,       174,       210,         2,         0,         0,        62,        10,       336,       343,       261,        42,         0,         0,         0,         0,       270,       289,       105,        35,       165,         0,         0,         0,         0,         0,        57,       156,         0,       110,         0,         0,         0,         0,         0,         0,         0,        83,         0,         0,         0,         0,         0,         0,         0,         0,      6414
Zone100,         1,         1,        10,         9,        26,        93,        11,        14,        40,       256,        12,         0,       269,         2,         0,         0,        55,        14,        20,        40,        38,       107,        56,        26,        35,       403,       278,         2,        18,         3,         0,        32,        11,        14,       137,       768,        42,        10,        83,       180,        76,       399,       310,        60,       102,         0,       170,        14,         0,        34,       265,        89,       263,         3,       409,       249,       301,         3,         0,         0,        89,        14,       481,       491,       374,        61,         0,         0,         0,         0,       386,       414,       151,        50,       236,         0,         0,         0,         0,         0,        81,       223,         0,       158,         0,         0,         0,         0,         0,         0,         0,       120,         0,         0,         0,         0,         0,         0,         0,         0,      9191
Trip Attraction Of Each Zone,        61,        96,       870,       714,      2149,      7866,       733,       956,      2775,     17836,       984,        15,      8813,        50,         2,         2,      3798,       954,      1381,      2785,      3250,      3492,      1838,       864,      1089,     27159,     19323,       153,      1270,       195,         9,      1040,       353,       459,      4496,     12563,      2937,       694,      5780,     12529,      2489,     13087,     10159,      1964,      3339,        16,     11807,       965,         0,      2330,      8685,      2909,      8638,        89,     13419,      8163,     20945,       242,     11192,      3972,      2930,       468,     15768,     16099,     12259,      1989,      6257,      5581,      9205,      7822,     12667,     13569,      4954,      1648,      7740,     10107,      3321,       368,      6707,      3671,      2667,      7316,         0,      5169,     10575,      3710,      1314,      7606,      4907,      5198,         2,      3919,      7048,      1332,        93,       895,      7450,      9356,      3782,      6806,    509025

Part Two: Traffic Capacity and Traffic Volume Comparison
LineCode,Transport Capacity,From Metro Station,To Metro Station,Traffic Volume,TransportCapacity-TrafficVolume, Result
Line1,48000,1,2,15710,32290,Succeed
Line1,48000,2,1,10120,37880,Succeed
Line1,48000,2,3,10120,37880,Succeed
Line1,48000,3,2,104571,-56571,Fail.Traffic Capacity of Line1 is too small to operate the traffic volume of this edge
Line1,48000,3,4,104571,-56571,Fail.Traffic Capacity of Line1 is too small to operate the traffic volume of this edge
Line1,48000,4,3,114840,-66840,Fail.Traffic Capacity of Line1 is too small to operate the traffic volume of this edge
Line1,48000,4,5,114840,-66840,Fail.Traffic Capacity of Line1 is too small to operate the traffic volume of this edge
Line1,48000,5,4,24446,23554,Succeed
Line1,48000,5,1,24446,23554,Succeed
Line1,48000,1,5,15710,32290,Succeed

Line2,14400,2,6,1435,12965,Succeed
Line2,14400,6,2,89888,-75488,Fail.Traffic Capacity of Line2 is too small to operate the traffic volume of this edge
Line2,14400,6,4,89888,-75488,Fail.Traffic Capacity of Line2 is too small to operate the traffic volume of this edge
Line2,14400,4,6,101885,-87485,Fail.Traffic Capacity of Line2 is too small to operate the traffic volume of this edge

Line3,36000,3,6,30963,5037,Succeed
Line3,36000,6,3,40506,-4506,Fail.Traffic Capacity of Line3 is too small to operate the traffic volume of this edge
Line3,36000,6,5,40506,-4506,Fail.Traffic Capacity of Line3 is too small to operate the traffic volume of this edge
Line3,36000,5,6,3987,32013,Succeed


Part Three: Financial Cost and Revenue
Establishment Cost Of the Whole Metro System (Roads+Stations+Vechicles),326590.02883
Operation Cost and Revenue of Metro Lines
LineCode,Operation Cost Per Day,Revenue Per Day,Income Per Day
1,70609.95,539092.92,468482.97
2,50174.60,1066996.73,1016822.13
3,130638.16,412149.88,281511.73
Sum,251422.70,2018239.53,1766816.83
